id_cliente,ciudad,region,segmento,edad,sexo,fecha_registro
C001,Bucaramanga,Andina,Premium,28,M,2024-08-21
C002,Bogotá,Andina,Premium,60,M,2025-11-08
C003,Pereira,Andina,Frecuente,67,F,2025-07-28
C004,Medellín,Andina,Premium,37,F,2024-01-09
C005,Medellín,Andina,Nuevo,50,F,2024-06-20
C006,Cali,Pacífica,Premium,35,M,2025-10-20
C007,Bogotá,Andina,Frecuente,61,M,2025-11-17
C008,Barranquilla,Caribe,Premium,36,F,2024-01-29
C009,Bogotá,Andina,Frecuente,33,F,2024-12-03
C010,Bogotá,Andina,Frecuente,51,F,2025-08-23
C011,Cartagena,Caribe,Premium,65,F,2024-05-01
C012,Pereira,Andina,Nuevo,51,F,2025-01-23
C013,Barranquilla,Caribe,Nuevo,62,M,2024-03-08
C014,Cartagena,Caribe,Premium,38,M,2025-03-28
C015,Villavicencio,Orinoquía,Premium,47,F,2024-03-20
C016,Villavicencio,Orinoquía,Frecuente,37,M,2025-09-25
C017,Bogotá,Andina,Premium,23,F,2025-03-19
C018,Santa Marta,Caribe,,39,M,2024-04-07
C019,Medellín,Andina,Frecuente,50,F,2025-04-28
C020,Pereira,Andina,Frecuente,51,M,2024-06-18
C021,Santa Marta,Caribe,Nuevo,61,M,2025-07-31
C022,Bucaramanga,Andina,Frecuente,60,F,2025-09-09
C023,Santa Marta,Caribe,Premium,47,F,2025-11-12
C024,Santa Marta,Caribe,Nuevo,42,M,2025-04-01
C025,Pereira,Andina,Frecuente,49,F,2024-10-20
C026,Santa Marta,Caribe,Premium,36,F,2025-03-24
C027,Medellín,Andina,Frecuente,39,M,2025-11-15
C028,Bucaramanga,Andina,Nuevo,45,F,2024-09-04
C029,Cartagena,Caribe,Frecuente,52,F,2025-09-29
C030,Bogotá,Andina,Nuevo,50,F,2025-05-10
C031,Bucaramanga,Andina,Premium,33,M,2024-01-27
C032,Medellín,Andina,Nuevo,54,M,2024-08-29
C033,Bucaramanga,Andina,Frecuente,43,F,2024-09-09
C034,Bogotá,Andina,Nuevo,68,M,2025-07-23
C035,Bogotá,Andina,Frecuente,48,F,2025-03-02
C036,Santa Marta,Caribe,Premium,49,F,2024-05-07
C037,Villavicencio,Orinoquía,Frecuente,40,M,2025-08-15
C038,Cali,Pacífica,Frecuente,26,M,2024-10-23
C039,Villavicencio,Orinoquía,Nuevo,64,F,2025-06-14
C040,Cartagena,Caribe,Premium,46,M,2024-07-10
C041,Cali,Pacífica,Frecuente,31,F,2024-10-26
C042,Barranquilla,Caribe,Nuevo,40,M,2024-02-25
C043,Cartagena,Caribe,Frecuente,22,M,2024-05-30
C044,Barranquilla,Caribe,Premium,55,F,2025-03-31
C045,Pereira,Andina,Premium,51,F,2024-10-05
C046,Villavicencio,Orinoquía,Nuevo,32,F,2025-07-10
C047,Cartagena,Caribe,Premium,44,M,2025-10-01
C048,Santa Marta,Caribe,Premium,46,F,2024-10-20
C049,Cartagena,Caribe,Frecuente,46,F,2024-07-06
C050,Bogotá,Andina,Nuevo,52,F,2024-10-19
C051,Medellín,Andina,Frecuente,29,M,2025-10-05
C052,Barranquilla,Caribe,Premium,51,M,2024-04-13
C053,Cali,Pacífica,Nuevo,54,F,2024-09-13
C054,Cali,Pacífica,Premium,31,M,2024-07-02
C055,Cali,Pacífica,Frecuente,32,M,2025-01-10
C056,Medellín,Andina,Premium,57,M,2024-03-18
C057,Bogotá,Andina,Nuevo,60,F,2024-06-09
C058,Bogotá,Andina,Frecuente,26,M,2025-01-09
C059,Bucaramanga,Andina,Frecuente,28,F,2024-01-07
C060,Santa Marta,Caribe,Premium,48,M,2024-02-16
C061,Bucaramanga,Andina,Nuevo,38,M,2025-05-19
C062,Villavicencio,Orinoquía,Frecuente,35,F,2024-07-10
C063,Cartagena,Caribe,Nuevo,24,M,2025-08-29
C064,Cartagena,Caribe,Frecuente,66,M,2024-05-03
C065,Bogotá,Andina,Frecuente,30,M,2024-07-28
C066,Villavicencio,Orinoquía,Premium,46,M,2025-04-12
C067,Pereira,Andina,Frecuente,68,M,2024-07-29
C068,Cartagena,Caribe,Frecuente,44,M,2024-09-27
