id_encuesta,id_cliente,fecha,calificacion,nps,comentario
S001,C018,2026-03-06,4,8,Buena experiencia
S002,C067,2026-06-23,5,9,Volvería a comprar
S003,C038,2026-02-14,4,6,Problemas con el pedido
S004,C159,2026-05-05,5,10,Buena experiencia
S005,C146,2026-06-10,2,3,Atención lenta
S006,C124,2026-06-18,4,8,Muy buen producto
S007,C075,2026-02-17,4,8,Muy buen producto
S008,C019,2026-01-03,5,10,Compra fácil y rápida
S009,C161,2026-04-14,5,10,Muy buen producto
S010,C048,2026-03-09,5,10,Buena experiencia
S011,C146,2026-02-05,5,10,Buena experiencia
S012,C123,2026-01-25,2,4,Demora en la entrega
S013,C070,2026-05-31,4,8,Buena experiencia
S014,C114,2026-01-30,5,9,Muy buen producto
S015,C066,2026-01-05,5,9,Muy buen producto
S016,C075,2026-01-21,4,7,Compra fácil y rápida
S017,C106,2026-05-15,5,9,Buena experiencia
S018,C021,2026-03-16,4,7,Volvería a comprar
S019,C151,2026-01-26,5,10,Buena experiencia
S020,C131,2026-01-25,5,9,Excelente atención y entrega rápida
S021,C137,2026-06-11,5,9,Excelente atención y entrega rápida
S022,C039,2026-04-04,4,8,Excelente atención y entrega rápida
S023,C089,2026-06-25,2,4,Atención lenta
S024,C101,2026-05-28,5,9,Buena experiencia
S025,C088,2026-05-12,5,10,Volvería a comprar
S026,C038,2026-03-24,3,5,Demora en la entrega
S027,C034,2026-02-28,5,9,Volvería a comprar
S028,C002,2026-03-14,4,7,Volvería a comprar
S029,C053,2026-05-20,4,7,Buena experiencia
S030,C034,2026-02-17,5,10,Volvería a comprar
S031,C119,2026-03-28,4,6,Atención lenta
S032,C068,2026-02-08,1,1,Atención lenta
S033,C001,2026-01-16,4,7,Compra fácil y rápida
S034,C091,2026-03-12,5,10,Excelente atención y entrega rápida
S035,C043,2026-03-03,5,10,Compra fácil y rápida
S036,C169,2026-03-08,4,8,Muy buen producto
S037,C081,2026-02-08,5,10,Compra fácil y rápida
S038,C092,2026-05-02,5,10,Volvería a comprar
S039,C090,2026-06-26,4,8,Excelente atención y entrega rápida
S040,C098,2026-03-07,4,8,Compra fácil y rápida
S041,C088,2026-03-19,5,10,Volvería a comprar
S042,C028,2026-03-31,3,5,Producto llegó tarde
S043,C179,2026-01-30,3,5,Atención lenta
S044,C149,2026-06-09,5,10,Compra fácil y rápida
S045,C147,2026-05-01,5,9,Muy buen producto
S046,C025,2026-04-01,4,8,Muy buen producto
S047,C008,2026-04-07,4,8,Excelente atención y entrega rápida
S048,C058,2026-01-31,4,7,Excelente atención y entrega rápida
S049,C148,2026-06-20,5,10,Muy buen producto
S050,C135,2026-06-06,2,2,Problemas con el pedido
S051,C079,2026-05-31,2,2,Problemas con el pedido
S052,C117,2026-06-02,5,10,Volvería a comprar
S053,C179,2026-05-09,5,10,Excelente atención y entrega rápida
S054,C175,2026-01-09,5,10,Compra fácil y rápida
S055,C142,2026-01-15,4,6,Problemas con el pedido
S056,C028,2026-06-03,4,7,Volvería a comprar
S057,C130,2026-04-11,5,10,Muy buen producto
S058,C159,2026-05-04,5,10,Excelente atención y entrega rápida
S059,C145,2026-03-04,5,10,Compra fácil y rápida
S060,C014,2026-02-09,3,5,Demora en la entrega
S061,C150,2026-03-04,4,7,Compra fácil y rápida
S062,C016,2026-03-15,4,6,El descuento no compensó la espera
S063,C059,2026-02-04,5,10,Compra fácil y rápida
S064,C161,2026-06-20,5,9,Buena experiencia
S065,C168,2026-04-12,5,9,Muy buen producto
S066,C049,2026-02-13,2,4,Demora en la entrega
S067,C160,2026-03-18,5,9,Compra fácil y rápida
S068,C040,2026-05-28,2,4,El descuento no compensó la espera
S069,C083,2026-01-20,4,8,Buena experiencia
S070,C162,2026-04-20,5,9,Buena experiencia
