id_venta,id_cliente,id_producto,fecha,region,canal,categoria,cantidad,descuento,valor_venta,estado
V0001,C174,P035,2026-01-19,Caribe,Tienda,Cuidado personal,4,0,262463.0,Completada
V0002,C130,P039,2026-01-18,Caribe,Tienda,Hogar,2,0,336715.0,Completada
V0003,C041,P028,2026-03-09,Orinoquía,Tienda,Accesorios,2,0,44137.0,Completada
V0004,C025,P023,2026-03-20,Pacífica,Tienda,Tecnología,3,0.05,124402.0,Completada
V0005,C076,P040,2026-03-19,Orinoquía,Marketplace,Tecnología,2,0.1,394608.0,Completada
V0006,C075,P006,2026-02-28,Caribe,Marketplace,Hogar,1,0.2,237043.0,Completada
V0007,C069,P005,2026-05-21,Pacífica,Web,Cuidado personal,2,0.15,328428.0,Completada
V0008,C070,P036,2026-02-22,Andina,Tienda,Accesorios,3,0.05,371908.0,Completada
V0009,C081,P014,2026-06-16,Andina,Tienda,Cuidado personal,4,0.1,217862.0,Completada
V0010,C144,P035,2026-03-24,Andina,Web,Hogar,4,0,290147.0,Cancelada
V0011,C024,P004,2026-01-05,Orinoquía,Web,Hogar,2,0.05,336385.0,Completada
V0012,C120,P034,2026-03-18,Caribe,Web,Accesorios,1,0.1,258716.0,Completada
V0013,C001,P017,2026-05-25,Pacífica,Marketplace,Cuidado personal,2,0.05,374292.0,Completada
V0014,C164,P033,2026-05-07,Caribe,Marketplace,Cuidado personal,2,0.2,356444.0,Completada
V0015,C093,P020,2026-02-02,Andina,Marketplace,Tecnología,2,0,128200.0,Cancelada
V0016,C018,P035,2026-02-05,Caribe,Tienda,Accesorios,4,0.2,165571.0,Completada
V0017,C177,P013,2026-06-10,Andina,Web,Accesorios,4,0.2,573894.0,Completada
V0018,C064,P015,2026-01-11,Orinoquía,Marketplace,Accesorios,1,0,188516.0,Cancelada
V0019,C059,P005,2026-01-28,Andina,Marketplace,Hogar,3,0,479398.0,Completada
V0020,C139,P009,2026-06-19,Andina,Web,Accesorios,4,0,269919.0,Completada
V0021,C109,P027,2026-04-28,Orinoquía,Web,Hogar,1,0,430336.0,Completada
V0022,C028,P016,2026-02-07,Caribe,Web,Cuidado personal,4,0.2,374708.0,Completada
V0023,C114,P036,2026-01-02,Orinoquía,Tienda,Cuidado personal,1,0,20000,Completada
V0024,C124,P014,2026-04-02,Andina,Tienda,Accesorios,2,0.05,326361.0,Completada
V0025,C109,P036,2026-06-23,Caribe,Web,Cuidado personal,4,0,479810.0,Completada
V0026,C149,P035,2026-01-24,Andina,Web,Hogar,3,0,150629.0,Completada
V0027,C015,P033,2026-01-28,Caribe,Marketplace,Accesorios,2,0,20000,Completada
